date,location,source,value,class
2020-03-16,Miami,venues google,9.0,residential
2020-03-16,Miami,venues google,-12.0,retail_and_recreation
2020-03-16,Miami,venues google,11.0,grocery_and_pharmacy
2020-03-16,Miami,venues google,-24.0,transit_stations
2020-03-16,Miami,venues google,-16.0,workplaces
2020-03-16,Miami,venues google,-26.0,parks
2020-03-17,Miami,venues google,12.0,residential
2020-03-17,Miami,venues google,-16.0,retail_and_recreation
2020-03-17,Miami,venues google,13.0,grocery_and_pharmacy
2020-03-17,Miami,venues google,-29.0,transit_stations
2020-03-17,Miami,venues google,-22.0,workplaces
2020-03-17,Miami,venues google,-27.0,parks
2020-03-18,Miami,venues google,14.0,residential
2020-03-18,Miami,venues google,-25.0,retail_and_recreation
2020-03-18,Miami,venues google,6.0,grocery_and_pharmacy
2020-03-18,Miami,venues google,-35.0,transit_stations
2020-03-18,Miami,venues google,-27.0,workplaces
2020-03-18,Miami,venues google,-32.0,parks
2020-03-19,Miami,venues google,16.0,residential
2020-03-19,Miami,venues google,-29.0,retail_and_recreation
2020-03-19,Miami,venues google,7.0,grocery_and_pharmacy
2020-03-19,Miami,venues google,-42.0,transit_stations
2020-03-19,Miami,venues google,-30.0,workplaces
2020-03-19,Miami,venues google,-49.0,parks
2020-03-20,Miami,venues google,19.0,residential
2020-03-20,Miami,venues google,-35.0,retail_and_recreation
2020-03-20,Miami,venues google,7.0,grocery_and_pharmacy
2020-03-20,Miami,venues google,-47.0,transit_stations
2020-03-20,Miami,venues google,-33.0,workplaces
2020-03-20,Miami,venues google,-58.0,parks
2020-03-21,Miami,venues google,16.0,residential
2020-03-21,Miami,venues google,-45.0,retail_and_recreation
2020-03-21,Miami,venues google,-7.0,grocery_and_pharmacy
2020-03-21,Miami,venues google,-51.0,transit_stations
2020-03-21,Miami,venues google,-32.0,workplaces
2020-03-21,Miami,venues google,-69.0,parks
2020-03-22,Miami,venues google,15.0,residential
2020-03-22,Miami,venues google,-51.0,retail_and_recreation
2020-03-22,Miami,venues google,-21.0,grocery_and_pharmacy
2020-03-22,Miami,venues google,-58.0,transit_stations
2020-03-22,Miami,venues google,-37.0,workplaces
2020-03-22,Miami,venues google,-70.0,parks
2020-03-23,Miami,venues google,21.0,residential
2020-03-23,Miami,venues google,-44.0,retail_and_recreation
2020-03-23,Miami,venues google,-18.0,grocery_and_pharmacy
2020-03-23,Miami,venues google,-56.0,transit_stations
2020-03-23,Miami,venues google,-42.0,workplaces
2020-03-23,Miami,venues google,-63.0,parks
2020-03-24,Miami,venues google,23.0,residential
2020-03-24,Miami,venues google,-45.0,retail_and_recreation
2020-03-24,Miami,venues google,-20.0,grocery_and_pharmacy
2020-03-24,Miami,venues google,-56.0,transit_stations
2020-03-24,Miami,venues google,-45.0,workplaces
2020-03-24,Miami,venues google,-65.0,parks
2020-03-25,Miami,venues google,24.0,residential
2020-03-25,Miami,venues google,-47.0,retail_and_recreation
2020-03-25,Miami,venues google,-23.0,grocery_and_pharmacy
2020-03-25,Miami,venues google,-59.0,transit_stations
2020-03-25,Miami,venues google,-47.0,workplaces
2020-03-25,Miami,venues google,-69.0,parks
2020-03-26,Miami,venues google,25.0,residential
2020-03-26,Miami,venues google,-48.0,retail_and_recreation
2020-03-26,Miami,venues google,-23.0,grocery_and_pharmacy
2020-03-26,Miami,venues google,-61.0,transit_stations
2020-03-26,Miami,venues google,-48.0,workplaces
2020-03-26,Miami,venues google,-69.0,parks
2020-03-27,Miami,venues google,27.0,residential
2020-03-27,Miami,venues google,-49.0,retail_and_recreation
2020-03-27,Miami,venues google,-22.0,grocery_and_pharmacy
2020-03-27,Miami,venues google,-63.0,transit_stations
2020-03-27,Miami,venues google,-48.0,workplaces
2020-03-27,Miami,venues google,-68.0,parks
2020-03-28,Miami,venues google,20.0,residential
2020-03-28,Miami,venues google,-55.0,retail_and_recreation
2020-03-28,Miami,venues google,-28.0,grocery_and_pharmacy
2020-03-28,Miami,venues google,-67.0,transit_stations
2020-03-28,Miami,venues google,-43.0,workplaces
2020-03-28,Miami,venues google,-77.0,parks
