date,location,src,value
2020-09-26,San Francisco,indexed_average_person,43.0
2020-09-27,San Francisco,indexed_average_person,19.0
2020-09-28,San Francisco,indexed_average_person,20.0
2020-09-29,San Francisco,indexed_average_person,33.0
2020-09-30,San Francisco,indexed_average_person,41.0
2020-10-01,San Francisco,indexed_average_person,63.0
2020-10-02,San Francisco,indexed_average_person,53.0
2020-10-03,San Francisco,indexed_average_person,38.0
2020-10-04,San Francisco,indexed_average_person,15.0
2020-10-05,San Francisco,indexed_average_person,30.0
2020-10-06,San Francisco,indexed_average_person,25.0
2020-10-07,San Francisco,indexed_average_person,27.0
2020-10-09,San Francisco,indexed_average_person,39.0
2020-10-10,San Francisco,indexed_average_person,36.0
2020-10-11,San Francisco,indexed_average_person,24.0
2020-10-12,San Francisco,indexed_average_person,22.0
2020-10-13,San Francisco,indexed_average_person,24.0
2020-10-14,San Francisco,indexed_average_person,29.0
2020-10-15,San Francisco,indexed_average_person,36.0
2020-10-16,San Francisco,indexed_average_person,38.0
2020-10-17,San Francisco,indexed_average_person,48.0
2020-10-18,San Francisco,indexed_average_person,23.0
2020-10-19,San Francisco,indexed_average_person,29.0
2020-10-20,San Francisco,indexed_average_person,27.0
2020-10-21,San Francisco,indexed_average_person,28.0
2020-10-22,San Francisco,indexed_average_person,35.0
2020-10-23,San Francisco,indexed_average_person,44.0
2020-10-24,San Francisco,indexed_average_person,42.0
2020-10-25,San Francisco,indexed_average_person,19.0
2020-10-26,San Francisco,indexed_average_person,24.0
2020-10-27,San Francisco,indexed_average_person,28.0
2020-10-28,San Francisco,indexed_average_person,25.0
2020-10-29,San Francisco,indexed_average_person,27.0
2020-10-30,San Francisco,indexed_average_person,36.0
2020-03-01,San Francisco,mobility_average_person,2.6630000000000003
2020-03-02,San Francisco,mobility_average_person,3.3369999999999997
2020-03-03,San Francisco,mobility_average_person,3.28
2020-03-04,San Francisco,mobility_average_person,3.463
2020-03-05,San Francisco,mobility_average_person,3.42
