EGENDER,RHISPANIC,RRACE,EEDUC,MS,INCOME,ONLINE,PICK-UP,IN-STORE,RFID-NFC,CASH,AVOID RESTR,RESUME RESTR,NUMADLT,NUMKID
MALE,NO HISPANIC,RACE_ASIAN,BACHELOR,MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
MALE,HISPANIC,RACE_WHITE,ASSOCIATE,DIVOCED,LEVEL2,+ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,ASSOCIATE,DIVOCED,LEVEL3,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,BACHELOR,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL0,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL2
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL8,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_ASIAN,SOME_COLLEGE,MARRIED,LEVEL2,-ONLINE,-PICKUP,+INSTORE,-CONTACTLESS,+CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,GRADUATE,NEVER MARRIED,LEVEL7,+ONLINE,-PICKUP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,HISPANIC,RACE_WHITE,GRADUATE,MARRIED,LEVEL8,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
MALE,NO HISPANIC,RACE_BLACK,SOME_COLLEGE,SEPARATED,LEVEL5,+ONLINE,+PICK-UP,-INSTORE,+CONTACTLESS,-CASH,+AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,SOME_COLLEGE,NEVER MARRIED,LEVEL6,+ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL2,LEVEL1
FEMALE,NO HISPANIC,RACE_WHITE,HIGH_SCHOOL,WIDOWED,LEVEL1,-ONLINE,-PICKUP,-INSTORE,-CONTACTLESS,-CASH,-AVOID RESTR,-RESUME RESTR,LEVEL1,LEVEL1
