date,location,src,value
2020-10-22,Miami,indexed regular member,75.0
2020-10-23,Miami,indexed regular member,88.0
2020-10-24,Miami,indexed regular member,66.0
2020-10-25,Miami,indexed regular member,32.0
2020-10-26,Miami,indexed regular member,65.0
2020-10-27,Miami,indexed regular member,70.0
2020-10-28,Miami,indexed regular member,75.0
2020-10-29,Miami,indexed regular member,76.0
2020-10-30,Miami,indexed regular member,84.0
2020-03-01,Miami,mobility regular member,5.4670000000000005
2020-03-02,Miami,mobility regular member,7.934
2020-03-03,Miami,mobility regular member,7.82
2020-03-04,Miami,mobility regular member,7.949
2020-03-05,Miami,mobility regular member,8.283
2020-03-06,Miami,mobility regular member,8.69
2020-03-07,Miami,mobility regular member,7.428
2020-03-08,Miami,mobility regular member,5.146
2020-03-09,Miami,mobility regular member,7.638
2020-03-10,Miami,mobility regular member,7.7479999999999976
2020-03-11,Miami,mobility regular member,7.87
2020-03-12,Miami,mobility regular member,7.7810000000000015
2020-03-13,Miami,mobility regular member,7.621
2020-03-14,Miami,mobility regular member,5.354
2020-03-15,Miami,mobility regular member,3.275
2020-03-16,Miami,mobility regular member,5.449
2020-03-17,Miami,mobility regular member,4.5
2020-03-18,Miami,mobility regular member,3.523
2020-03-19,Miami,mobility regular member,3.485
2020-03-20,Miami,mobility regular member,3.952
2020-03-21,Miami,mobility regular member,1.238
2020-03-22,Miami,mobility regular member,0.265
2020-03-23,Miami,mobility regular member,1.422
2020-03-24,Miami,mobility regular member,1.052
2020-03-25,Miami,mobility regular member,0.953
2020-03-26,Miami,mobility regular member,0.733
2020-03-27,Miami,mobility regular member,0.81
2020-03-28,Miami,mobility regular member,0.078
2020-03-29,Miami,mobility regular member,0.038
2020-03-30,Miami,mobility regular member,0.318
2020-03-31,Miami,mobility regular member,0.428
2020-04-01,Miami,mobility regular member,0.419
2020-04-02,Miami,mobility regular member,0.595
2020-04-03,Miami,mobility regular member,0.629
2020-04-04,Miami,mobility regular member,0.08900000000000001
2020-04-05,Miami,mobility regular member,0.033
2020-04-06,Miami,mobility regular member,0.184
