ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
5yAcCvXU_gPK1z_PAGv-QA,The Exchange,5.0,2,,,False,Food Court,food_court,32.77929,-96.80001,US,TX,Dallas,75202
tE1mxJF_wHvAq7rVlJMmBg,Midnight Rambler,4.0,189,$$,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.7807376,-96.7984467,US,TX,Dallas,75201
2du8UWngTa8anhmmYa-HdQ,Sky Blossom,4.0,109,$$,"['pickup', 'delivery']",False,"Vietnamese, Asian Fusion, Bars","vietnamese, asianfusion, bars",32.7812,-96.79903,US,TX,Dallas,75201
HpFbDC5PGQscdj49j6GaSw,The Empanada Cookhouse,4.5,53,,"['pickup', 'delivery']",False,"Empanadas, Latin American","empanadas, latin",32.7824625,-96.8048533,US,TX,Dallas,75202
8B2asBf5t77_9V2RH20YPg,WingBucket,4.0,525,$$,"['pickup', 'delivery']",False,"Chicken Wings, Chicken Shop, Soul Food","chicken_wings, chickenshop, soulfood",32.7800568007201,-96.8015836662705,US,TX,Dallas,75202
iQMXjmLL2ER_lljf404j-A,La Tarte Tropézienne,4.5,33,,,False,"Desserts, Patisserie/Cake Shop, French","desserts, cakeshop, french",32.7810076628829,-96.7973130941391,US,TX,Dallas,75201
Il32ChEdjkd5fxk0i-wf0A,Momo Shack Himalayan Dumplings,4.5,24,$,,False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",32.7840614318848,-96.794548034668,US,TX,Dallas,75201
OseLHyUULSVhYyyrr6okFg,Bullion,4.5,182,$$$,['delivery'],False,"Brasseries, Bars","brasseries, bars",32.77664,-96.805583,US,TX,Dallas,75202
yVuzaTxmVo3VqClZ5ID7aw,Texas Spice,4.0,403,$$,['delivery'],False,American (New),newamerican,32.7758770087906,-96.8047791739758,US,TX,Dallas,75202
sqhaTs9xc3G8OWHihGBipQ,Terry Black's Barbecue,4.5,396,$$,['delivery'],False,Barbeque,bbq,32.78488,-96.77984,US,TX,Dallas,75226
CNbNYbDVKUP8Cuv9RKTnvA,Nobu,4.0,575,$$$$,['delivery'],False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",32.794255,-96.803958,US,TX,Dallas,75201
DFDzmTV_piFkr7AeKO8E6A,The French Room,4.0,102,$$$$,,False,French,french,32.7800839465349,-96.7997282,US,TX,Dallas,75202
_MCZEs60lSri5jAdcqTiYQ,Bread Zeppelin Salads Elevated,4.0,151,$$,"['pickup', 'delivery']",False,"Salad, Sandwiches","salad, sandwiches",32.7799819,-96.8006744,US,TX,Dallas,75202
NgYw4oLuhrUmHmR-icZJ6w,Town Hearth,4.5,519,$$$,['delivery'],False,"American (Traditional), Seafood, Steakhouses","tradamerican, seafood, steak",32.79229,-96.822169,US,TX,Dallas,75207
1c-mSsWDHrTbGNC0CEOpSA,Pizza Leila,5.0,16,,['delivery'],False,Pizza,pizza,32.788005,-96.799673,US,TX,Dallas,75201
Q85_DUiQCmtxmRL0sS56aw,Truluck’s Ocean’s Finest Seafood and Crab,4.0,762,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.794429968597,-96.80262550422,US,TX,Dallas,75201
otooE54cPZ5hWH4hC-2JAg,Triniti - Tower Club,4.0,15,$$$,,False,"American (Traditional), American (New)","tradamerican, newamerican",32.7816970646381,-96.7981646955013,US,TX,Dallas,75201
-u5VKytWtYYiYf7RdJ3UDA,Cafe Momentum,4.5,194,$$,['delivery'],False,American (New),newamerican,32.78206186509047,-96.79946617055222,US,TX,Dallas,75201
_uoH_x4wP6sKcDpWx0zaeA,The Charles,4.5,178,$$$,['delivery'],False,Italian,italian,32.79308,-96.82186,US,TX,Dallas,75207
1jv0uZ_K1egUVhYm7eER5A,Bob's Steak & Chop House,4.5,233,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.7750141257401,-96.8037885563446,US,TX,Dallas,75202
kvcQrj5CutHBfSgcg236EA,Uncle Uber's,4.5,1265,$,"['pickup', 'delivery']",False,"Sandwiches, Burgers, Bars","sandwiches, burgers, bars",32.7834,-96.78341,US,TX,Dallas,75226
hkogslruOmSeg4dO3G4jog,Ka-Tip Thai Street Food,4.5,45,$$,,False,Thai,thai,32.776932,-96.789031,US,TX,Dallas,75201
CPQEBDq7cspBB_AFYHvTDw,Uchi,4.5,1371,$$$,,False,"Japanese, Sushi Bars, Seafood","japanese, sushi, seafood",32.79676,-96.8066599,US,TX,Dallas,75201
jCjIP-pgb1F_QNvIWnq9Aw,Sandoitchi,3.5,52,,,False,"Japanese, Sandwiches","japanese, sandwiches",32.784642,-96.780799,US,TX,Dallas,75226
whriBpnd_jLfeZL2_8KouQ,Dallas Fish Market,3.5,302,$$$,['delivery'],False,Seafood,seafood,32.780789,-96.799316,US,TX,Dallas,75201
2bTVBOJ40z_tLY0XfVMF1Q,Si Tapas,4.0,666,$$,['delivery'],False,"Spanish, Tapas Bars","spanish, tapas",32.79598,-96.79668,US,TX,Dallas,75204
ovmbjn4biVtrn2egqQUGqQ,Ravenna Italian Grille & Bar,4.0,228,$$,"['pickup', 'delivery']",False,"Italian, Steakhouses, Bars","italian, steak, bars",32.78002213,-96.8010794045157,US,TX,Dallas,75202
oxb8VpKm7q8KdsBxIhfjrg,Ounce by Zenner,5.0,1,,,False,"Tapas/Small Plates, Cocktail Bars","tapasmallplates, cocktailbars",32.77938552176123,-96.80002119999999,US,TX,Dallas,75202
WM--6SIp218cCEzqTDSAnQ,Catbird,4.0,11,,,False,"Bars, Tapas/Small Plates","bars, tapasmallplates",32.7814023,-96.7999534,US,TX,Dallas,75201
LiYys5glM0MO2A9rCkcFWA,XOXO Dining Room,3.5,147,,['delivery'],False,American (New),newamerican,32.794171,-96.791056,US,TX,Dallas,75204
ycL1qii6EpKXoLgMMboBIQ,Pecan Lodge,4.5,5090,$$,['delivery'],False,"Sandwiches, Barbeque, Southern","sandwiches, bbq, southern",32.7835884,-96.7838669,US,TX,Dallas,75226
DP1I3daE5-mKznnAeA-Q3w,The Woolworth,4.0,888,$$,"['delivery', 'restaurant_reservation']",False,"Cocktail Bars, Tapas/Small Plates, American (New)","cocktailbars, tapasmallplates, newamerican",32.781329,-96.798727,US,TX,Dallas,75204
-pvdnSkWhsHAeOC0TJleOQ,TRUE Kitchen + Kocktails,3.5,263,,"['delivery', 'pickup']",False,"Southern, Comfort Food","southern, comfortfood",32.7826,-96.79463,US,TX,Dallas,75201
geot2wZyok3s_H3l9e7Iqg,Jaxon Texas Kitchen & Beer Garden,4.0,122,$$,"['delivery', 'pickup']",False,"American (New), Beer Gardens","newamerican, beergardens",32.7786,-96.799444,US,TX,Dallas,75202
pX8jseEF57jr-xOyh3ij9w,Yardbird Southern Table & Bar,4.0,202,,"['delivery', 'pickup']",False,"Southern, Cocktail Bars, American (New)","southern, cocktailbars, newamerican",32.7909,-96.801195,US,TX,Dallas,75201
f6i2rU70xixptLYHfbtINg,CBD Provisions,4.0,1011,$$,"['delivery', 'pickup']",False,"American (Traditional), Steakhouses, Beer, Wine & Spirits","tradamerican, steak, beer_and_wine",32.780571,-96.7983932,US,TX,Dallas,75201
