week,casual_dining,class,coffee,fast_casual_food,pizza,sandwiches
9,108.5813143,2019 Apptopia Usage Indexed - C,98.6083097,87.80918856,109.4666099,89.76782675
10,108.7331045,2019 Apptopia Usage Indexed - C,97.62418991,87.15366399,112.2295825,89.53092763
11,108.7085363,2019 Apptopia Usage Indexed - C,96.93303748,85.51399009,114.9033715,88.90138479
12,108.5588999,2019 Apptopia Usage Indexed - C,97.95061376,84.46130363,114.8832155,87.4019182
13,108.0828852,2019 Apptopia Usage Indexed - C,98.97182916,84.66980078,113.1142147,85.69234712
14,109.5287804,2019 Apptopia Usage Indexed - C,100.49525,85.07044668,112.4242292,84.97690185
15,109.7283199,2019 Apptopia Usage Indexed - C,101.175309,84.72208192,112.9357542,84.884201
16,109.8979797,2019 Apptopia Usage Indexed - C,102.291306,84.92551437,113.2824737,85.88096913
17,109.4608252,2019 Apptopia Usage Indexed - C,102.5594686,83.02053898,112.4277267,85.28153756
18,108.8620058,2019 Apptopia Usage Indexed - C,102.1448899,82.07904072,110.9119243,83.98800559
19,108.1578494,2019 Apptopia Usage Indexed - C,103.2377961,82.35048178,110.1514617,84.4045539
20,107.4913669,2019 Apptopia Usage Indexed - C,104.3834638,82.87392384,109.7272096,84.56137193
21,109.5658335,2019 Apptopia Usage Indexed - C,105.7079476,82.42700991,108.2713533,84.21085371
22,109.5795049,2019 Apptopia Usage Indexed - C,106.1964652,82.37819007,107.5855023,85.49347241
23,109.0524919,2019 Apptopia Usage Indexed - C,104.0893636,82.3520187,107.904088,85.98117028
24,108.6091863,2019 Apptopia Usage Indexed - C,106.0625747,81.42116863,107.9986579,86.73403442
25,107.2377808,2019 Apptopia Usage Indexed - C,106.3832053,80.32426174,107.6544146,87.13409586
26,106.4097428,2019 Apptopia Usage Indexed - C,105.8734927,81.29439886,106.3783696,86.1400526
27,105.4131767,2019 Apptopia Usage Indexed - C,107.1183853,85.34565708,106.8383763,87.44188306
28,103.5687135,2019 Apptopia Usage Indexed - C,107.6101781,85.94091437,108.2809344,87.77342348
29,102.1808805,2019 Apptopia Usage Indexed - C,105.5129432,84.71887028,108.8978127,87.41241861
2,100.0,2020 Apptopia Usage Indexed - C,100.0,100.0,100.0,100.0
3,101.0595421,2020 Apptopia Usage Indexed - C,99.9868293,104.3481839,97.66154896,98.80382949
4,102.1709151,2020 Apptopia Usage Indexed - C,99.49553518,113.3409503,97.22839128,106.2843802
5,103.3339122,2020 Apptopia Usage Indexed - C,99.08525701,115.7931363,97.87525507,106.5792191
6,106.1259417,2020 Apptopia Usage Indexed - C,97.81850289,116.2666503,100.1019488,107.7879712
7,107.557242,2020 Apptopia Usage Indexed - C,97.13353278,114.5503512,101.8263354,108.927036
8,111.8507587,2020 Apptopia Usage Indexed - C,96.74918931,113.4434482,103.3789527,108.6337661
9,113.3288355,2020 Apptopia Usage Indexed - C,96.16827083,113.332172,104.5459948,109.7815492
10,115.0764717,2020 Apptopia Usage Indexed - C,97.35222579,113.9647892,105.8474812,128.2762619
11,116.6793448,2020 Apptopia Usage Indexed - C,101.0081162,112.92984,106.4014112,158.8880404
12,114.8449098,2020 Apptopia Usage Indexed - C,98.00368519,108.5112247,104.5321685,170.3909609
13,116.751719,2020 Apptopia Usage Indexed - C,91.37955963,105.3768634,104.6316731,169.2170376
14,121.7769731,2020 Apptopia Usage Indexed - C,85.51961607,105.5028028,108.0273226,168.3167125
15,126.2568862,2020 Apptopia Usage Indexed - C,80.80722296,106.4217303,107.9221632,159.6748942
16,131.3999461,2020 Apptopia Usage Indexed - C,77.22923567,107.7045826,107.4713747,150.7388439
17,139.765098,2020 Apptopia Usage Indexed - C,74.91850827,109.6469961,108.8875932,144.3482157
18,144.2322861,2020 Apptopia Usage Indexed - C,74.00003723,112.3663827,110.109641,138.2171979
19,146.7060584,2020 Apptopia Usage Indexed - C,75.82263023,115.6477846,110.9648917,136.8563564
20,155.6435531,2020 Apptopia Usage Indexed - C,80.81114915,117.5950143,110.9217124,146.6366178
21,157.1314285,2020 Apptopia Usage Indexed - C,85.42733777,119.2484002,110.8754042,159.2408731
22,155.4247457,2020 Apptopia Usage Indexed - C,91.02960284,121.8790844,112.4032258,169.5408142
23,153.646073,2020 Apptopia Usage Indexed - C,94.07066783,123.5600269,113.9515125,176.9468966
24,150.7679097,2020 Apptopia Usage Indexed - C,95.51072664,123.8718296,113.3438874,183.8612897
25,148.84975,2020 Apptopia Usage Indexed - C,97.331526,125.280673,112.3909096,192.590158
26,147.3651704,2020 Apptopia Usage Indexed - C,100.2369891,126.1773694,111.6567486,193.8206245
27,145.0749421,2020 Apptopia Usage Indexed - C,102.0789158,132.2563814,111.9878668,192.1951103
28,141.8539437,2020 Apptopia Usage Indexed - C,100.8615544,134.4190399,112.4504637,192.4606562
29,140.9170993,2020 Apptopia Usage Indexed - C,100.4214258,130.9612138,112.4749736,195.3878932
