i,ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code,transactions_
55,MXy-YMQCWpBJf92HFRhGhw,Per Diem,4.0,787,$$,['delivery'],False,"American (New), Cocktail Bars","newamerican, cocktailbars",37.790041,-122.401275,US,CA,San Francisco,94104,['delivery']
56,dqd3qpeDZKsR0AaRiM9PvA,Trailblazer Tavern - San Francisco,4.0,341,,"['delivery', 'pickup']",False,Hawaiian,hawaiian,37.79089,-122.39669,US,CA,San Francisco,94105,"['delivery', 'pickup']"
57,56gj15LDt8mcDIeKCbu-tg,Oren's Hummus,4.0,654,$$,"['restaurant_reservation', 'pickup', 'delivery']",False,"Mediterranean, Middle Eastern","mediterranean, mideastern",37.7866074,-122.4021922,US,CA,San Francisco,94103,"['restaurant_reservation', 'pickup', 'delivery']"
58,WOVHQYzSAdyXYOiYDTmujQ,The Bird,4.0,1916,$,['delivery'],False,"Chicken Shop, Sandwiches","chickenshop, sandwiches",37.78724,-122.39995,US,CA,San Francisco,94105,['delivery']
59,BNiAdGR9pvgJvX5R1o_kkQ,Curry Up Now Food Truck,4.0,930,$,['delivery'],False,"Food Trucks, Indian","foodtrucks, indpak",37.79093,-122.40164,US,CA,San Francisco,94104,['delivery']
60,XwN8iZohq2qkfM0rPqzDOQ,Uno Dos Tacos,4.0,791,$,"['delivery', 'pickup']",False,Mexican,mexican,37.7891126754314,-122.400815612269,US,CA,San Francisco,94105,"['delivery', 'pickup']"
61,9Irn4OeTU8mj_BQ2HFQaww,The Vault Garden,4.0,129,$$$,['delivery'],False,"American (Traditional), Cocktail Bars","tradamerican, cocktailbars",37.79226,-122.40348,US,CA,San Francisco,94104,['delivery']
62,7qK2Gwu0afQMtYFSJvvCqQ,Muracci's Japanese Curry & Grill,4.0,1737,$$,['pickup'],False,Japanese Curry,japacurry,37.791036,-122.404233,US,CA,San Francisco,94108,['pickup']
63,_BDoTBI2YlyUaWFOXBEF8Q,Sababa,4.5,338,$$,"['delivery', 'pickup']",False,"Mediterranean, Middle Eastern, Greek","mediterranean, mideastern, greek",37.7911832391356,-122.404289804399,US,CA,San Francisco,94108,"['delivery', 'pickup']"
64,Tf14DLc_VlebmUtptENxhw,Shlap Muan by Braised + Bread,4.5,128,$$,"['delivery', 'pickup']",False,"Cambodian, Asian Fusion, Chicken Wings","cambodian, asianfusion, chicken_wings",37.7891276,-122.4029268,US,CA,San Francisco,94104,"['delivery', 'pickup']"
65,VbiGA5GWwJNRvbrHTftwPQ,Sam's Tavern,4.5,23,,[],False,"Sports Bars, Breakfast & Brunch, American (Traditional)","sportsbars, breakfast_brunch, tradamerican",37.79101,-122.40357,US,CA,San Francisco,94104,
66,NFpgg-5mP8Zto_yrrz_a4g,The Treasury,4.0,160,$$,['delivery'],False,"Cocktail Bars, American (Traditional)","cocktailbars, tradamerican",37.7912937,-122.4010389,US,CA,San Francisco,94104,['delivery']
67,kBEo83SItZwTVZFYBUnJbA,iKU Sushi,4.0,94,$,"['delivery', 'pickup']",False,Sushi Bars,sushi,37.79026,-122.40205,US,CA,San Francisco,94104,"['delivery', 'pickup']"
68,Q7_LfqaY3TrDaSIr7lk1TQ,City View Restaurant,4.0,1333,$$,"['delivery', 'pickup']",False,"Dim Sum, Cantonese","dimsum, cantonese",37.7943,-122.40409,US,CA,San Francisco,94111,"['delivery', 'pickup']"
69,_oZ8X3onXs6TRgHBewJdYg,Sababa,4.5,17,,[],False,"Middle Eastern, Falafel","mideastern, falafel",37.78930878452172,-122.399772869011,US,CA,San Francisco,94105,
70,agUov63fwIufCj8t6pCivg,Pushkin,4.5,201,$,"['delivery', 'pickup']",False,"Russian, Ukrainian, Soup","russian, ukrainian, soup",37.791338,-122.403632,US,CA,San Francisco,94104,"['delivery', 'pickup']"
71,5nCCitxHCg-lhvMowbrs_A,La Fromagerie,4.5,246,$$,"['delivery', 'pickup']",False,"Salad, Cheese Shops, Sandwiches","salad, cheese, sandwiches",37.7905110535375,-122.402407899499,US,CA,San Francisco,94104,"['delivery', 'pickup']"
72,MeSzHp6THRrWLP7gRTQIVA,Bourbon Burger Bar San Francisco,5.0,14,,[],False,Burgers,burgers,37.792886,-122.397979,US,CA,San Francisco,94111,
73,if7l8HVMz7kmW0tG9l2LQA,E&O Kitchen and Bar,4.0,1070,$$,['delivery'],False,"Asian Fusion, Venues & Event Spaces","asianfusion, venues",37.789719,-122.405846,US,CA,San Francisco,94108,['delivery']
74,mfD5wlWS6tY92FJHDcBwJA,Bouche,4.5,787,$$$,"['delivery', 'pickup']",False,French,french,37.790254,-122.407361268997,US,CA,San Francisco,94108,"['delivery', 'pickup']"
75,IRD_9JUjR-06zztisuTdAA,Akiko's Restaurant,4.0,1905,$$$,['delivery'],False,"Sushi Bars, Japanese","sushi, japanese",37.790582,-122.404653,US,CA,San Francisco,94108,['delivery']
76,fx_P3Mw4IPmpjH9RalImNQ,Tin Cactus,4.5,22,,[],False,Mexican,mexican,37.791497,-122.4036872,US,CA,San Francisco,94104,
77,LLsG5k-XLbD-0Ow7wW7ifA,Trilogi SF,5.0,4,$$,[],False,"Asian Fusion, Caterers","asianfusion, catering",37.7911148,-122.4021273,US,CA,San Francisco,94104,
78,gsf5yf5HS3h8Z8MHpJ4t3w,Cafe Claude,4.0,1990,$$$,['delivery'],False,"French, Venues & Event Spaces","french, venues",37.7903209516376,-122.404523903705,US,CA,San Francisco,94108,['delivery']
79,bvdEOVmFuWUV0sAALc_-zw,Harborview Restaurant & Bar,4.0,474,,"['restaurant_reservation', 'pickup', 'delivery']",False,"Chinese, Lounges, Seafood","chinese, lounges, seafood",37.794959,-122.395663,US,CA,San Francisco,94111,"['restaurant_reservation', 'pickup', 'delivery']"
80,AoxdFkE06fQs_ZP0S0VRPw,Hops & Hominy,4.0,2114,$$,"['delivery', 'pickup']",False,"Southern, American (Traditional), Bars","southern, tradamerican, bars",37.789312,-122.405731,US,CA,San Francisco,94108,"['delivery', 'pickup']"
81,XjViuoOVtkQQtPfqdaIHVA,The Pink Elephant Alibi,4.0,1349,$$,"['restaurant_reservation', 'pickup']",False,"Breakfast & Brunch, Cocktail Bars, Champagne Bars","breakfast_brunch, cocktailbars, champagne_bars",37.78682,-122.40049,US,CA,San Francisco,94105,"['restaurant_reservation', 'pickup']"
82,Wd5ho0_FKk9n7uV8pSCYIg,Barbacco,4.0,1622,$$,"['delivery', 'pickup']",False,"Italian, Bars","italian, bars",37.7935921194034,-122.399338591436,US,CA,San Francisco,94111,"['delivery', 'pickup']"
83,TEvPUNNIRNdiLLKYcKTFVg,Working Girls' Cafe,4.0,534,$$,['delivery'],False,"Breakfast & Brunch, Cafes","breakfast_brunch, cafes",37.790584936738,-122.404048740864,US,CA,San Francisco,94108,['delivery']
84,-h3g7n0ZUDcp8fcp_ffj3Q,Bini's Kitchen,4.5,222,$,"['delivery', 'pickup']",False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",37.7885210112459,-122.4027029875,US,CA,San Francisco,94104,"['delivery', 'pickup']"
85,ka1_lat2boQwLMsOCiwGiA,R&G Lounge,3.5,4482,$$,"['restaurant_reservation', 'delivery']",False,"Seafood, Cantonese","seafood, cantonese",37.7941240989441,-122.404937406342,US,CA,San Francisco,94108,"['restaurant_reservation', 'delivery']"
86,HtgVXaAIoMOi6eA7hox3Zg,Tacolicious Chico,4.0,29,,['delivery'],False,"Mexican, Bars","mexican, bars",37.787742,-122.403049,US,CA,San Francisco,94103,['delivery']
87,UqTdHGPBx730m5D51EOI6Q,Rooster & Rice,4.0,344,$$,"['delivery', 'pickup']",False,Thai,thai,37.78923,-122.40404,US,CA,San Francisco,94108,"['delivery', 'pickup']"
88,_8F_VkyCXRfmdGWVIjEBGA,Boutique Crenn X Cubert,4.5,8,,[],False,Pop-Up Restaurants,popuprestaurants,37.789827,-122.396452,US,CA,San Francisco,94105,
89,ZNj4xwodItEfFofNYxMEhw,The Shota,4.5,165,$$$$,['delivery'],False,"Japanese, Sushi Bars","japanese, sushi",37.79142,-122.40103,US,CA,San Francisco,94104,['delivery']
90,WxxE5kE8omgQhJE8sWIvmA,Tadich Grill,4.0,2434,$$$,['delivery'],False,"Seafood, American (Traditional)","seafood, tradamerican",37.793431560349,-122.399468217791,US,CA,San Francisco,94111,['delivery']
91,mRvr3toGkIeaUwI5RtW0Gw,Gaspar Brasserie,4.0,376,$$$,['delivery'],False,"Brasseries, French, Cocktail Bars","brasseries, french, cocktailbars",37.7896186379079,-122.40344702209,US,CA,San Francisco,94104,['delivery']
