ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
vmZ-bgnM5B76NUpegAjy1g,Hotbird,4.5,131,,,False,"Sandwiches, Chicken Shop, Burgers","sandwiches, chickenshop, burgers",37.7768004184036,-122.416263845447,US,CA,San Francisco,94103
kFgjHGp-cTUK5uPaSJOORA,Souvla,4.0,1418,$$,['delivery'],False,"Greek, Mediterranean","greek, mediterranean",37.77643,-122.425,US,CA,San Francisco,94102
oT08T3Vpn1I7jDmrBBRMTw,House of Prime Rib,4.0,7247,$$$,,False,"American (Traditional), Steakhouses, Wine Bars","tradamerican, steak, wine_bars",37.79338,-122.4225,US,CA,San Francisco,94109
kn782Mw92uchlBI2CyosOQ,Tokyo Hot Chicken San Francisco,4.0,24,,"['pickup', 'delivery']",False,Chicken Shop,chickenshop,37.792886,-122.397979,US,CA,San Francisco,94111
kvrQecqdGvnuVICMstZJmA,Dumpling Home,4.5,96,,"['pickup', 'delivery']",False,"Dim Sum, Noodles, Asian Fusion","dimsum, noodles, asianfusion",37.77571,-122.42257,US,CA,San Francisco,94102
dY0Mc_PHH6nLENvWmVtwxQ,Daeho Kalbijjim & Beef Soup,4.5,891,$$,"['pickup', 'delivery']",False,"Korean, Soup, Noodles","korean, soup, noodles",37.78601,-122.42858,US,CA,San Francisco,94115
__V4jzP3SNrg3_n0QoDmcQ,Beyond Burma,4.0,98,$$,"['restaurant_reservation', 'pickup', 'delivery']",False,"Burmese, Indonesian, Noodles","burmese, indonesian, noodles",37.78784,-122.413565,US,CA,San Francisco,94109
lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,4.0,11058,$$,['delivery'],False,"Breakfast & Brunch, Southern, Cajun/Creole","breakfast_brunch, southern, cajun",37.7829016035273,-122.419043442957,US,CA,San Francisco,94102
Edjd2Z4Tr1XYy6yq6jMM2w,Papito Hayes,4.0,748,$$,['delivery'],False,Mexican,mexican,37.776635,-122.423396,US,CA,San Francisco,94102
H76UbTvcepqyQ7ZufDkJow,Akna,5.0,21,,,False,"Mexican, Pop-Up Restaurants","mexican, popuprestaurants",37.777726,-122.422991,US,CA,San Francisco,94102
WOVHQYzSAdyXYOiYDTmujQ,The Bird,4.0,1923,$,['delivery'],False,"Chicken Shop, Sandwiches","chickenshop, sandwiches",37.78724,-122.39995,US,CA,San Francisco,94105
pxhNGH0mL_WHMAU4m3tB8A,Arepas En Bici,4.5,35,,,False,"Venezuelan, Personal Chefs, Caterers","venezuelan, personalchefs, catering",37.787152,-122.416361,US,CA,San Francisco,94109
6KASBgDLNL7tYGj3Z-I1JQ,Mela Tandoori Kitchen,4.0,592,$$,"['restaurant_reservation', 'pickup', 'delivery']",False,"Indian, Pakistani, Halal","indpak, pakistani, halal",37.7811951935291,-122.419438585639,US,CA,San Francisco,94102
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen SF,4.5,3102,$$,"['pickup', 'delivery']",False,Ramen,ramen,37.785014,-122.431842,US,CA,San Francisco,94115
sk2OH92GwQjFKbguoFWHSw,Uncle Tito,4.0,1,,,False,Filipino,filipino,37.776902,-122.415244,US,CA,San Francisco,94103
